iter	Passed	Remaining
0	4	4417
1	8	4442
2	11	3956
3	13	3289
4	14	2893
5	15	2639
6	22	3190
7	24	2995
8	25	2860
9	59	5844
10	60	5462
11	63	5199
12	67	5139
13	70	4944
14	72	4729
15	75	4643
16	76	4444
17	78	4264
18	79	4110
19	81	3969
20	84	3938
21	86	3829
22	87	3720
23	99	4029
24	106	4135
25	106	4005
26	107	3884
27	108	3778
28	112	3756
29	148	4797
30	149	4683
31	152	4605
32	155	4551
33	156	4450
34	158	4367
35	161	4333
36	162	4240
37	166	4227
38	170	4194
39	171	4113
40	173	4055
41	176	4016
42	177	3951
43	179	3905
44	182	3879
45	187	3888
46	189	3833
47	192	3816
48	195	3791
49	197	3751
50	201	3743
51	205	3748
52	207	3701
53	210	3694
54	212	3652
55	215	3630
56	217	3606
57	221	3599
58	222	3548
59	223	3507
60	226	3484
61	227	3447
62	229	3410
63	231	3381
64	232	3348
65	234	3321
66	236	3287
67	254	3494
68	261	3522
69	268	3566
70	270	3542
71	272	3513
72	274	3489
73	276	3458
74	277	3426
75	280	3406
76	281	3376
77	283	3352
78	284	3322
79	286	3299
80	288	3270
81	290	3256
82	293	3239
83	295	3217
84	298	3211
85	300	3193
86	302	3171
87	303	3146
88	305	3128
89	307	3110
90	309	3094
91	311	3072
92	312	3050
93	314	3029
94	315	3008
95	317	2992
96	319	2973
97	320	2951
98	322	2931
99	326	2935
100	328	2921
101	329	2901
102	331	2884
103	332	2866
104	334	2849
105	335	2831
106	338	2825
107	339	2806
108	341	2792
109	343	2777
110	344	2760
111	346	2744
112	347	2729
113	350	2722
114	511	3933
115	517	3944
116	520	3927
117	521	3896
118	522	3865
119	523	3835
120	523	3806
121	525	3778
122	525	3750
123	527	3725
124	528	3697
125	529	3675
126	531	3654
127	533	3634
128	535	3615
129	536	3592
130	538	3570
131	539	3548
132	541	3532
133	543	3514
134	546	3499
135	548	3482
136	549	3462
137	609	3805
138	619	3839
139	640	3932
140	641	3909
141	652	3940
142	653	3918
143	662	3937
144	663	3914
145	678	3968
146	688	3993
147	690	3975
148	692	3953
